"","Black","Hispanic","Asian"
"self.mean",0.035943809668292,-0.0283751771251771,0.138601746052323
"self.sd",0.0631534854276651,0.0988574124009961,0.210187461003591
"self.n",9,6,4
"white.mean",-0.0688738782113524,0.0128831163411199,0.0998853344874838
"white.sd",0.189720851565139,0.0784544706042636,0.181999890694891
"white.n",9,9,7
"other.mean",0.0824992449411053,0.120186705765639,-0.0145440377437323
"other.sd",0.112724908581605,0.203168084483908,0.102514927174215
"other.n",2,9,7
"self_white.p",0.0738299236326858,0.793497996909676,0.384514342656092
"self_other.p",0.668553994649388,0.958249488943222,0.123091691345654
